id,brand,categories,asins,n_reviews,example_text,avg_rating
AV000tWuGV-KLJ3ac2-b,Amazon,Amazon Devices,B01KIOU4EO,7,"the best echo yet, especially if you have elderly parents this was really worth the wait. i bought the echo show for my parents, who are elderly, and have a variety of ailments. since they have arthritis, and a few other issues, i didn't want them to go and answer the doorbell, just to find it's someone soliciting them to buy random junk. so, last year, i bought and installed the ring doorbell pro in their house, which works very well. the ring doorbell pro is hardwired and not battery operated. after the skill was enabled, i could tell alexa to show me the front doorbell and a video feed automatically pops up. you really need a good wi-fi router with the echo show as the video will be jerky since the video is very high quality. if you have a good wi-fi router, the video comes up very quickly and runs very smooth. i thought the doorbell would launch the app on the echo show automatically, but it does not. you have to initiate the connection yourself. hopefully this will be an option in the next iteration of this skill. i can think of a whole bunch of ideas for this skill to do, but for a very first implementation, it works great with the hardwired version of the ring doorbell pro.the battery powered ring products do not work as great though. when trying to connect the echo show to a battery powered ring device, i get a message saying something like, the camera is asleep and needs to wake up and it could take 30 sec. this happens with my ring stickup camera. so, if you want the best experience, you should buy the ring doorbell pro instead of the battery powered versions.one of my parents just came out of the hospital and sometimes just doesn't have the energy to even pick up a cell phone when we call. so, we have another echo show, just for her, in drop in mode.read more amazon",4.142857142857143
AV00l7jV-jtxr-f30lnX,Amazon,Amazon Devices,B01LW1MS9C,10,"great upgrade for aesthetics i'm a huge fan of the echo family. i have two echo's, three dots and one tap. no they aren't essential to my life but i love playing music, listening to the news and controlling the philips hue smart lights throughout my home. it was a large investment that most of the population won't make - with that being said i am not a huge fan of the way the hockey puck dots look like. glossy plastic looks a little cheap to me although it has no effect on the performance of them. having the dot cover is a great option and it looks fantastic.some reviewers say they look cheap or fit too loose - i'm not sure why people are moving their dots. since dots are made to be stationary, have a loose fitting cover isn't an issue. to me, it fits perfectly. they also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your dot happens to get sunlight.i bought three covers - blue, grey and white. they all look good but the grey is my favorite as it doesn't attract more attention than it needs to. with that being said, i like all three colors.edit 07/11/2017 - these covers hold up well over time. mine haven't collected dust or faded. i've kept them on for over half a year and not a single issue (not that i'd expect any besides possible fading). amazon",4.7
AV00lzP7GV-KLJ3ac0uk,Amazon,Amazon Devices,B01LW1MS9C,10,"great upgrade for aesthetics i'm a huge fan of the echo family. i have two echo's, three dots and one tap. no they aren't essential to my life but i love playing music, listening to the news and controlling the philips hue smart lights throughout my home. it was a large investment that most of the population won't make - with that being said i am not a huge fan of the way the hockey puck dots look like. glossy plastic looks a little cheap to me although it has no effect on the performance of them. having the dot cover is a great option and it looks fantastic.some reviewers say they look cheap or fit too loose - i'm not sure why people are moving their dots. since dots are made to be stationary, have a loose fitting cover isn't an issue. to me, it fits perfectly. they also aren't made of real fabric, but the important part is that it does look like the fabric in the picture. not being fabric is a better option considering plastic is much more durable than material and will hold its color better if your dot happens to get sunlight.i bought three covers - blue, grey and white. they all look good but the grey is my favorite as it doesn't attract more attention than it needs to. with that being said, i like all three colors.edit 07/11/2017 - these covers hold up well over time. mine haven't collected dust or faded. i've kept them on for over half a year and not a single issue (not that i'd expect any besides possible fading). amazon",4.7
AV00lzd5GV-KLJ3ac0ul,Amazon,Amazon Devices,B00NO8LX7E,7,"great controller with 2 major problems! not recommended at this point in time... this is a great controller for our fire tv, i purchased 2 of them, with two problems but let me first talk about the good. the controller works well for most of the games we play on the fire tv. it has a long range compared to other controllers ive tried (solid at 30 feet) and uses wifi direct instead of bluetooth. the feel of it is decent (not too rubbery) and none of the buttons, d-pad, or sticks have stuck or given us a problem. the microphone on it works as good or better than the one on the fire tv remote.now on to the problems. its such an issue that im not just putting it in the cons section but am going to tell you a bit about it. the worst problem is the battery life! in fact, its such a huge problem that im taking off 2 stars because of it. this controller eats batteries like nobodys business. i have tried regular aa batteries (both duracell and energizer), expensive aa batteries (both duracell and energizer), and rechargeable aa batteries (ive tried energizer, apple, amazonbasics). the controller doesnt drain the batteries completely, nope. that i would understand. instead, the controller stops working after only a 40 drain. i kid you not. every set of batteries i have put into this thing has stopped working when there is still 60 battery life left. i have tested each set, before and after, using a generic battery tester as well as an ohm meter.the second problem may not be the controller itself, it may be the fire tv, but its affecting the controller. the controller randomly disconnects. not often enough for it to be a huge issue but just enough for it to be annoying. i have seen reports of others having the same problem with the controller and the remote. im hoping that this issue will be fixed with a firmware update.read more amazon",4.142857142857143
AV1Nik13-jtxr-f31AFO,Amazon,Amazon Devices,B01A08E70K,6,"love love love!!!!! so happy!! 1, i don't know why there are so many bad reviews. first of, let's start off by pointing out the obvious, it's under 100. you're not going to receive a kindle paperwhite. before you order, read the specs and compare it to the other kindles. yes, the specs say it doesn't have backlighting so honestly, there shouldn't be one ounce of surprise when you receive this. i on the other hand, love this little kindle. i have had the new kindle paperwhite and i really didn't like how big it was to hold in my small hands. i don't have children hands, but i'm a female and my hands are on the small side. maybe for a male this would be kind of small, idk. anyway, it is smaller than the paperwhite, but i love that. i also love the fact that it doesn't come with a light. i used to read at night with the paperwhite, but that light gave me a headache so i stopped. it is not as dark as these bad reviews make it seem. you can read perfectly fine being indoors. they're exaggerating. this feels more like a book to me than the kindle paperwhite ever did. the letters on this kindle are amazing. i don't even notice the difference between ppi and i love that the letters are way darker than the paperwhite. the paperwhite had a grey hue to them and i didn't feel like i was reading a book. i felt like i actually holding a technical device to read a book. of course since this doesn't have a backlight, you cannot read in the dark. it's common sense. if you want to read at night, purchase a little book light that are super inexpensive and attach it to your kindle. it's not a big deal and you're not going to break the bank buying a 119.99 item when you can buy this little awesome e-book reader for 79.99. think about when the light runs out of your expensive other e-books...read more amazon",5.0
AV1T0-J7vKc47QAVgf2T,Amazon,Amazon Devices,B01FWSVGQQ,3,"updated review (after 2 months)... i am updating my review from two months ago.. my initial review for the sling cover was based on first impressions after just receiving it. today i have been using the tap and sling daily for over the last two months and i felt like i needed to modify my review. i originally did not recommend this product, but after living with it, and growing to like it, i am changing my recommendation.the truth is, the base and top feel more protected than the appearance would have you believe. i have dropped it a couple times and it was protected by the sling. i think the rubber absorbs most of the force of the fall. also, it has been sat into a puddle and the bottom is protected by the rubber sling.i initially was upset by the sling preventing me from charging on the charging dock, but it isn't as big of a problem as i thought it would be. i just pull off the bottom of the sling and charge it (leaving the top of the sling on). easy off and easy back on after.my only real lingering complaint would be the price. 20 for essentially a thin piece of rubber wrapping the top and bottom still seems a little excessive. i am increasing my stars by one. really the price is the only thing keeping this from a 5 star for me. i have come to really like the sling. i have also bought a cheap pouch to throw it into while transporting it. that has eased my concerns about keeping it clean/safe while throwing it into a work bag.my original is below. overall, i would (and have) recommended the sling to protect the tap.received the tap and the sling cover in the last 24 hours.read more amazon",4.666666666666667
AV1T09XZ-jtxr-f31CoT,Amazon,Amazon Devices,B01FWSVGQQ,3,"updated review (after 2 months)... i am updating my review from two months ago.. my initial review for the sling cover was based on first impressions after just receiving it. today i have been using the tap and sling daily for over the last two months and i felt like i needed to modify my review. i originally did not recommend this product, but after living with it, and growing to like it, i am changing my recommendation.the truth is, the base and top feel more protected than the appearance would have you believe. i have dropped it a couple times and it was protected by the sling. i think the rubber absorbs most of the force of the fall. also, it has been sat into a puddle and the bottom is protected by the rubber sling.i initially was upset by the sling preventing me from charging on the charging dock, but it isn't as big of a problem as i thought it would be. i just pull off the bottom of the sling and charge it (leaving the top of the sling on). easy off and easy back on after.my only real lingering complaint would be the price. 20 for essentially a thin piece of rubber wrapping the top and bottom still seems a little excessive. i am increasing my stars by one. really the price is the only thing keeping this from a 5 star for me. i have come to really like the sling. i have also bought a cheap pouch to throw it into while transporting it. that has eased my concerns about keeping it clean/safe while throwing it into a work bag.my original is below. overall, i would (and have) recommended the sling to protect the tap.received the tap and the sling cover in the last 24 hours.read more amazon",4.666666666666667
AV1T09fyvKc47QAVgf2R,Amazon,Amazon Devices,B00NO8LX7E,10,"great controller with 2 major problems! not recommended at this point in time... this is a great controller for our fire tv, i purchased 2 of them, with two problems but let me first talk about the good. the controller works well for most of the games we play on the fire tv. it has a long range compared to other controllers ive tried (solid at 30 feet) and uses wifi direct instead of bluetooth. the feel of it is decent (not too rubbery) and none of the buttons, d-pad, or sticks have stuck or given us a problem. the microphone on it works as good or better than the one on the fire tv remote.now on to the problems. its such an issue that im not just putting it in the cons section but am going to tell you a bit about it. the worst problem is the battery life! in fact, its such a huge problem that im taking off 2 stars because of it. this controller eats batteries like nobodys business. i have tried regular aa batteries (both duracell and energizer), expensive aa batteries (both duracell and energizer), and rechargeable aa batteries (ive tried energizer, apple, amazonbasics). the controller doesnt drain the batteries completely, nope. that i would understand. instead, the controller stops working after only a 40 drain. i kid you not. every set of batteries i have put into this thing has stopped working when there is still 60 battery life left. i have tested each set, before and after, using a generic battery tester as well as an ohm meter.the second problem may not be the controller itself, it may be the fire tv, but its affecting the controller. the controller randomly disconnects. not often enough for it to be a huge issue but just enough for it to be annoying. i have seen reports of others having the same problem with the controller and the remote. im hoping that this issue will be fixed with a firmware update.read more amazon",3.8
AV1T0_7M-jtxr-f31CoX,Amazon,Amazon Devices,B01FWSVGQQ,3,"updated review (after 2 months)... i am updating my review from two months ago.. my initial review for the sling cover was based on first impressions after just receiving it. today i have been using the tap and sling daily for over the last two months and i felt like i needed to modify my review. i originally did not recommend this product, but after living with it, and growing to like it, i am changing my recommendation.the truth is, the base and top feel more protected than the appearance would have you believe. i have dropped it a couple times and it was protected by the sling. i think the rubber absorbs most of the force of the fall. also, it has been sat into a puddle and the bottom is protected by the rubber sling.i initially was upset by the sling preventing me from charging on the charging dock, but it isn't as big of a problem as i thought it would be. i just pull off the bottom of the sling and charge it (leaving the top of the sling on). easy off and easy back on after.my only real lingering complaint would be the price. 20 for essentially a thin piece of rubber wrapping the top and bottom still seems a little excessive. i am increasing my stars by one. really the price is the only thing keeping this from a 5 star for me. i have come to really like the sling. i have also bought a cheap pouch to throw it into while transporting it. that has eased my concerns about keeping it clean/safe while throwing it into a work bag.my original is below. overall, i would (and have) recommended the sling to protect the tap.received the tap and the sling cover in the last 24 hours.read more amazon",4.666666666666667
AV1T0_ti-jtxr-f31CoV,Amazon,Amazon Devices,B01FWSVGQQ,3,"updated review (after 2 months)... i am updating my review from two months ago.. my initial review for the sling cover was based on first impressions after just receiving it. today i have been using the tap and sling daily for over the last two months and i felt like i needed to modify my review. i originally did not recommend this product, but after living with it, and growing to like it, i am changing my recommendation.the truth is, the base and top feel more protected than the appearance would have you believe. i have dropped it a couple times and it was protected by the sling. i think the rubber absorbs most of the force of the fall. also, it has been sat into a puddle and the bottom is protected by the rubber sling.i initially was upset by the sling preventing me from charging on the charging dock, but it isn't as big of a problem as i thought it would be. i just pull off the bottom of the sling and charge it (leaving the top of the sling on). easy off and easy back on after.my only real lingering complaint would be the price. 20 for essentially a thin piece of rubber wrapping the top and bottom still seems a little excessive. i am increasing my stars by one. really the price is the only thing keeping this from a 5 star for me. i have come to really like the sling. i have also bought a cheap pouch to throw it into while transporting it. that has eased my concerns about keeping it clean/safe while throwing it into a work bag.my original is below. overall, i would (and have) recommended the sling to protect the tap.received the tap and the sling cover in the last 24 hours.read more amazon",4.666666666666667
